Baseline 100%T,,5%,,10%,,15%,,A,,A!,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
982,0.2232912481,982,2.740586281,982,2.689406157,982,2.686919212,982,0.1550714374,982,0.1427874416,
981,0.223408401,981,2.708305597,981,2.693876266,981,2.667385101,981,0.1552259624,981,0.1430783719,
980,0.2235089988,980,2.724551916,980,2.720632792,980,2.673312902,980,0.1556311548,980,0.1433822066,
979,0.2236226946,979,2.725121021,979,2.694794416,979,2.71402216,979,0.1554809362,979,0.1432476491,
978,0.2237287909,978,2.712937117,978,2.687668085,978,2.682808399,978,0.1552066356,978,0.1431465745,
977,0.223782748,977,2.748479128,977,2.693480253,977,2.712622643,977,0.1551389247,977,0.1428299099,
976,0.2239090055,976,2.743664265,976,2.667750359,976,2.691738844,976,0.1550575644,976,0.1427722722,
975,0.2239294201,975,2.706133604,975,2.656980038,975,2.667112589,975,0.1559688598,975,0.1436625421,
974,0.2240945697,974,2.688179255,974,2.661535978,974,2.680304766,974,0.1583454758,974,0.1460466385,
973,0.2242341489,973,2.709652901,973,2.703779459,973,2.665217876,973,0.1633497924,973,0.1513201147,
972,0.2241228968,972,2.681079388,972,2.623064041,972,2.667608738,972,0.1708476841,972,0.1586318314,
971,0.2242366225,971,2.660497427,971,2.648620367,971,2.651370049,971,0.1783512533,971,0.1661812812,
970,0.2245048434,970,2.633271933,970,2.58834219,970,2.628293514,970,0.1850997806,970,0.1730540544,
